date,open,high,low,close,adjusted_close,volume
2021-11-05,1.5289,1.5537,1.4384,1.4532,1.4532,0
2021-11-08,1.4532,1.5038,1.4532,1.4916,1.4916,0
2021-11-09,1.4916,1.4925,1.4177,1.4411,1.4411,0
2021-11-10,1.4411,1.5766,1.4411,1.5535,1.5535,0
2021-11-12,1.5535,1.5861,1.5408,1.5664,1.5664,0
2021-11-15,1.5664,1.6317,1.5409,1.5836,1.5836,0
2021-11-16,1.6223,1.6465,1.5948,1.6404,1.6404,0
2021-11-17,1.6404,1.6508,1.5863,1.5923,1.5923,0
2021-11-18,1.5923,1.613,1.5778,1.6078,1.6078,0
2021-11-19,1.5898,1.6063,1.5155,1.5488,1.5488,0
2021-11-22,1.5488,1.6365,1.5377,1.5377,1.5377,0
2021-11-23,1.6296,1.6824,1.6185,1.6313,1.6313,0
2021-11-24,1.6694,1.6974,1.6297,1.666,1.666,0
2021-11-25,1.641,1.641,1.641,1.641,1.641,0
2021-11-26,1.641,1.641,1.4791,1.4791,1.4791,0
2021-11-29,1.4791,1.5637,1.4791,1.4996,1.4996,0
2021-11-30,1.4996,1.5244,1.4155,1.4502,1.4502,0
2021-12-01,1.4502,1.5047,1.4037,1.4079,1.4079,0
2021-12-02,1.4079,1.4656,1.4079,1.4469,1.4469,0
2021-12-03,1.4469,1.4682,1.3405,1.3573,1.3573,0
2021-12-06,1.3573,1.4418,1.3573,1.4351,1.4351,0
2021-12-07,1.4351,1.4844,1.4283,1.4759,1.4759,0
2021-12-08,1.4759,1.5315,1.4274,1.4793,1.4793,0
2021-12-09,1.5264,1.5341,1.4726,1.5025,1.5025,0
2021-12-10,1.5025,1.518,1.4514,1.4855,1.4855,0
2021-12-13,1.4855,1.5078,1.4114,1.414,1.414,0
2021-12-14,1.414,1.4702,1.414,1.4463,1.4463,0
2021-12-15,1.4463,1.4787,1.4259,1.4574,1.4574,0
2021-12-16,1.4574,1.4805,1.4166,1.4174,1.4174,0
2021-12-17,1.4174,1.4345,1.3742,1.4072,1.4072,0
2021-12-20,1.4072,1.4311,1.3539,1.4277,1.4277,0
2021-12-21,1.4277,1.4977,1.4141,1.4609,1.4609,0
2021-12-22,1.4609,1.4858,1.4482,1.455,1.455,0
2021-12-23,1.455,1.5004,1.4541,1.4952,1.4952,0
2021-12-27,1.4952,1.4952,1.4756,1.4791,1.4791,0
2021-12-28,1.4791,1.4919,1.456,1.4859,1.4859,0
2021-12-29,1.4859,1.5609,1.4705,1.5566,1.5566,0
2021-12-30,1.5566,1.5566,1.5032,1.5101,1.5101,0
2021-12-31,1.5101,1.5248,1.4998,1.5136,1.5136,0
2022-01-03,1.5136,1.6411,1.5136,1.6315,1.6315,0
2022-01-04,1.6315,1.6876,1.6159,1.6526,1.6526,0
2022-01-05,1.6526,1.7114,1.6395,1.7061,1.7061,0
2022-01-06,1.7061,1.7512,1.6878,1.7238,1.7238,0
2022-01-07,1.7238,1.8011,1.71,1.7674,1.7674,0
2022-01-10,1.7674,1.8092,1.7604,1.7657,1.7657,0
2022-01-11,1.7657,1.7818,1.7375,1.7419,1.7419,0
2022-01-12,1.7419,1.7544,1.7111,1.7464,1.7464,0
2022-01-13,1.7464,1.7617,1.6937,1.7034,1.7034,0
2022-01-14,1.7034,1.7948,1.7034,1.7922,1.7922,0
2022-01-18,1.7922,1.879,1.7922,1.8763,1.8763,0
